title,publisher,publish_year,language,isbn
The Lord of the Rings,"['Houghton Mifflin Harcourt Publishing Company', 'William Morrow Paperbacks', 'Metis Yayıncılık', 'European Schoolbooks', 'Book Club Associates', 'BBD Audio Publishing', 'Zondervan', 'HarperCollins Publishers', 'Brand: Mariner Books', 'Mariner Books', 'Slovart', 'Houghton Mifflin Harcourt Trade & Reference Publishers', 'Hör Verlag, München', 'Azbuka Klassika', 'French and European Publications Inc', 'Planeta Publishing', 'HarperCollins', 'George Allen & Unwin Ltd.', 'Brand: Recorded Books', 'Houghton Mifflin', 'Kont͡sern ""Olimp""', 'Soundelux Audio Publishing', 'Unieboek | Het Spectrum', 'Allenand Unwin', 'Highbridge Audio', 'Klett-Cotta Verlag', 'Unwin Paperbacks', 'SP Interprint', '""Terra""', 'HARPERCOLLINS PUBLISHERS', 'Booket', 'POCKET', 'BBC Audiobooks', 'Caedmon', 'Klett-Cotta', 'MINOTAURO', 'Book Club Association', 'George Allen and Unwin', 'France Loisirs', 'GALLIMARD JEUNE', 'Brand: HighBridge Company', 'Turtleback Books Distributed by Demco Media', 'Warszawskie Wydawnictwo Literackie Muza', 'Ballantine Books', 'Unwin Hyman', 'Guild Publishing', 'Harper Collins Publishers  Stock Account', 'BBC Books', 'Presse Pocket', 'Harper Collins', 'Ballantine', 'Harpercollins', 'Hobbit press Klett Cotta', 'Harpercollins Pub Ltd', 'Pocket', 'RUSCONI', 'Hyoronsha', 'HMH Books for Young Readers', 'der Hörverlag', 'Recorded Books', 'Rusconi', 'HarperCollins Canada, Limited', 'Minotauro Ediciones Avd', 'Bompiani', 'Circulo de Lectores', 'Het Spectrum', 'Grafton', 'Methuen', 'Siat Publishing Company', 'MUZA', 'WSOY', 'Easton Press', 'Allen & Unwin', 'Guild', 'HighBridge Audio', '""Kniga""', 'Editions France Loisirs', 'Recorded Books Unabridged', 'George Allen & Unwin', 'Soundelux Audio Pub', 'Allen and Unwin', 'BTFDREEM', 'Norstedt', 'HarperCollins Publishers Ltd', 'Random House Audio', 'Minotauro', 'n/a', 'Der Hörverlag', 'Bard', 'Gallimard', 'Sushi Books', 'Houghton Mifflin Co.', 'Houghton Mifflin Company', 'Editorial Vicens Vives', 'Highbridge Company', ""J.G. Cotta'sche, Buchhandlung Nachfolger GmbH"", 'Spectrum', 'William Morrow', 'Mladá fronta', 'HarperCollins Publishers Limited', 'AST', 'Brand: Soundelux Audio Pub', 'Recorded Books, Inc.', '""Azbuka""', 'Christian Bourgois', 'Listening Library', 'French & European Pubns', 'Hyōronsha', 'Houghton Mifflin Harcourt', 'Azbuka, Terra-Knizhnyy klub', 'harpercollins', 'Fabbri', 'Folio Society']","[1954, 1965, 1966, 1967, 1968, 1969, 1970, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1985, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]","['spa', 'bul', 'tur', 'jpn', 'rus', 'ita', 'swe', 'pol', 'dut', 'por', 'kor', 'cat', 'fre', 'cze', 'glg', 'slo', 'ger', 'eng']","['3608939849', '0898452236', '0048230464', '2266127454', '0544273443', '9788445011119', '9788445073759', '9780061917837', '3608936394', '9788416884179', '9780345242228', '0345247868', '0618343997', '9788845294044', '9782744147777', '8445011111', '9783608980806', '9784566023680', '5170186150', '9785768402129', '2070544338', '9781559351201', '034524785X', '9780618129027', '8956371822', '9781299884953', '4566023664', '9780007149131', '9780008501310', '3608935444', '9788533619623', '9780618260256', '9783608958553', '0008501319', '2075134049', '9780807286081', '5768402101', '9783608964288', '0048232009', '004823091X', '4566023672', '9780007172740', '9780048230874', '3129080007', '3608932224', '0007887663', '9780547951942', '9780048231499', '1402505205', '0618129022', '841688417X', '9780044406792', '9782070544332', '9780881422702', '9788435002011', '9780544273443', '360895211X', '9788845294778', '9783608936667', '0553472283', '9780345247858', '807145608X', '9780048230911', '1559351209', '0006392482', '2266032488', '0395647398', '3608980806', '3608933530', '9780544003415', '9780828867665', '9788020409263', '9788818123692', '9780261103412', '9780007136629', '3608936661', '9780008471286', '0395272203', '8431668687', '9780618260553', '9785352003121', '9788595086357', '9788435002608', '0586215751', '8373199772', '9780007118366', '0739409557', '9780395272220', '9780006392484', '5710000612', '9780606305648', '0358623405', '9780008471293', '9780007182367', '9783608938289', '0828867666', '9780061917820', '9780395272213', '8422616335', '0261103253', '9784566023697', '5768402098', '9780618153978', '9780395272206', '039527222X', '9780007581146', '9785768402112', '951013208X', '9780395595114', '9784566023628', '9783608933536', '5040081766', '0261102419', '0044406797', '0618433228', '360896035X', '3608964290', '9784566023635', '9027481970', '9780063270923', '0395193958', '9780828818124', '0007939361', '9780618346240', '4566023621', '9785170188451', '0358439191', '9780063274730', '9780008537753', '9785878600132', '9780048231833', '9780061917806', '9780007141326', '9788435002783', '0063274736', '9782266110877', '0261102435', '9782266286268', '0553466046', '0785918698', '3867170355', '4566023702', '9783895847929', '9780061917844', '576840211X', '9780618433223', '9782075134040', '0261102958', '8845294773', '0048230871', '8533619626', '0007172745', '0618260595', '9781402505201', '039548930X', '9782267013160', '9780395272237', '9780395647400', '2267011255', '0007136587', '274414777X', '000788768X', '0395489334', '8845210278', '0395595118', '9780618645619', '9780007525546', '0345339703', '0881422703', '9780553456530', '9783608952117', '9785040081769', '0261102354', '0007581149', '0261103954', '0261103938', '9788956371825', '9780358653035', '9780586215753', '8071456071', '9789545850660', '5768402128', '0063271265', '0395604230', '9789027481979', '2266286269', '9780395489321', '0044403054', '456602363X', '9780007489978', '039564738X', '9789027456830', '9785768402099', '9780618260591', '5352003124', '9780618401215', '9783895840432', '2267013169', '9780358623403', '9788422616337', '8020409262', '2266232991', '8422690306', '844501384X', '0008471282', '8818123211', '9780007203635', '8595086354', '9783129080009', '8435002012', '8533613407', '0007322593', '0261103989', '9784566023659', '9780261103252', '1611748860', '9780785918691', '4566023737', '9788818123210', '9780007939367', '9780345214522', '844500770X', '9027456836', '9780007887682', '0618037667', '9780008537760', '0618645616', '061826051X', '5878600137', '1299884954', '9785768402105', '0061952877', '9780618517657', '0261102346', '9780395489338', '3608960899', '9780563528883', '9780345339713', '9780061917851', '3608938281', '9780007149247', '0007172001', '0261102303', '9781602834927', '9780261102415', '0553456539', '1470326744', '0618260587', '9781402516276', '9780048230461', '0007489978', '8377582554', '9780618260584', '0007149131', '9788435002028', '9788445071786', '9780007149148', '9784566023703', '0261103202', '9780618260294', '9783608960358', '9113012436', '1402516274', '0008537755', '0345339711', '9780261102347', '8445070339', '9780261103955', '0007118368', '0007149247', '0618129014', '0007123817', '9788377582558', '9783608932225', '9780358439196', '160283492X', '9789510132081', '0547951949', '9788071456070', '9783608960891', '4566023680', '8445071793', '9788071456063', '0007182368', '4566023540', '9784566023666', '0544003411', '9785878600149', '9780261103931', '0618153977', '2266127926', '8071456063', '9783608939842', '9788431668686', '9783608964295', '9782266032483', '0061917842', '8845294048', '0358653037', '9780261102354', '5170188455', '0007141327', '1611748747', '9783608935448', '844500302X', '9788445007709', '3895840432', '9780261102958', '9788373199774', '9780261103962', '000748836X', '8445073753', '0008471290', '0007525540', '0618346244', '0345339738', '9782266127455', '3608964282', '4566023656', '9780261102385', '9781565115507', '9784566023673', '9780007887675', '9788445013847', '0048231495', '0063270927', '9780618153961', '9780618640157', '9780261103207', '0395308550', '9780061917813', '034524222X', '9782266232999', '000714914X', '9780739408254', '9780618260515', '9788845210273', '9783867170352', '0007124015', '0061917826', '4566023699', '9788373191723', '226611087X', '9781470326746', '8845290050', '0395082579', '1565115503', '0618260552', '9780395489314', '8818123696', '9780618037667', '9780007322596', '9788445003022', '0606305645', '9780395647387', '9780007172009', '0618260242', '9545850663', '0395272238', '9780261103689', '9784566023642', '9780007124015', '8445071785', '0007136625', '9788071456087', '9784566023543', '9784566023734', '0061917818', '9780345020208', '9788445070338', '360895855X', '0395489326', '0048231835', '9789027469380', '0618574999', '0358386594', '9027469385', '9780007136582', '9783608936391', '9780395974681', '9780358386599', '9788445071793', '9782267011258', '9788845290053', '0061917834', '0618260250', '0261103415', '9780261103986', '006191780X', '9785710000618', '9780345339737', '0586218696', '0618401210', '9780553466041', '9780261102439', '9780618343997', '9781611748741', '0007203578', '5878600145', '0345020200', '9788533613409', '9780345247865', '9780345339706', '9789113012438', '0828818126', '8435002020', '9780007203574', '0618260293', '9782266127929', '0007887671', '0395974682', '0618345841', '9780007887668', '0618517650', '0618640150', '0563528885', '9780261102569', '9780395082577', '9753423470', '0395489318', '9780553472288', '9789753423472', '4566023648', '0261103687', '8435002780', '0008537763', '0007105002', '9780395308554', '9788445070321', '0618153969', '9780048232007', '9780395604236', '8445070320', '8435002608', '9780739409558', '0739408259', '0807286087', '0061917850', '8373191720', '9780618345847', '9780586218693', '9780618574995', '0007203632', '0395272211', '9780395647394', '9780618260249', '9780395489307', '9780898452235', '0395647401', '9780044403050', '9780395193952', '0261102389', '9780618129010', '9780007105007', '9785170186150', '9781611748864', '0261102567', '9780261102309', '0261103962', '9780007488360', '9780061952876', '0345214528', '9788422690306', '9780007123810', '9780063271265', '3895847925']"
Novels (Hobbit / Lord of the Rings),"['Highbridge Audio', 'Mariner Books', 'HarperCollins Publishers Limited', 'HarperCollins Publishers Ltd', 'Unwin Paperbacks', 'Harper Collins', 'Del Rey Fantasy', 'HarperCollins', 'Houghton Mifflin', 'Harpercollins', 'Del Rey', 'Harper Collins Publ. UK', 'HarperCollins Publishers', 'Ballantine Books (Mm)', 'Azbuka-klassika', 'Harpercollins Pub Ltd', 'Houghton Mifflin Harcourt', 'Collins', 'Del Rey Books']","[1984, 1986, 2020, 1988, 1997, 1999, 2000, 2002, 2014, 2006, 2010, 1979, 2012, 2013, 1982, 1983]","['eng', 'rus']","['9781565117075', '9780395282632', '0008112835', '0007509847', '0007144083', '9780008112837', '0261103563', '0547928181', '0544445783', '0618002251', '9780458923403', '9780261103566', '9780007509843', '9780008376109', '9780008387754', '0395489075', '0007525524', '9780345320568', '1565117077', '9785352001844', '853361568X', '0007525516', '0458923400', '9780007522934', '0008387753', '0345320565', '9780544445789', '9780007525522', '5352001849', '0007522932', '9780007355143', '9780007525515', '0345538374', '9780007144082', '9780395489079', '0345195299', '0007105029', '9780345538376', '9780618002252', '9780345340429', '9788533615687', '9780345195296', '0345340426', '0395282632', '0008376107', '9780007105021', '9780547928180', '0007355149']"
The lord of the rings,"['Mariner Books', 'Houghton Mifflin Company', 'Tandem Library', 'Houghton Mifflin']","[2001, 2002]",['eng'],"['0618260226', '9781417605101', '0618195599', '0618258000', '1417605103', '9780618258000', '9780618260225', '9780618195596']"
The Lord of the Ring,"['Regal Books', 'Muddy Pearl', 'Kingsway Publications']","[2021, 2006, 2007]",['eng'],"['1910012335', '9781842913260', '1842913263', '0830743278', '9781910012338', '9780830743278']"
Lord of the Rings,['Cedco Publishing Company'],"[2001, 2002, 2005]",['eng'],"['9780768325232', '0768325234', '9780768325782', '9780768325249', '0768325293', '0768374693', '9780768374698', '0768325242', '0768325781', '9780768325294']"
The lord of the rings,"['HarperCollins', 'Houghton Mifflin']","[2001, 2002]",['eng'],"['000711625X', '9780618258024', '0618154019', '0618258027', '9780007116256', '9780618154012']"
Lord of the rings,,,['eng'],
The Lord of the Rings. Appendices,"['HarperCollins Publishers Limited', 'Circulo de Lectores', 'Minotauro', 'Ediciones Minotauro', 'Klett-Cotta', 'Houghton Mifflin Co', 'HarperCollins']","[2022, 1999, 2000, 2001, 2002, 2003]","['eng', 'spa', 'ger']","['9783608936384', '9788439596189', '9789505471225', '9780007635566', '3608932240', '950547122X', '9788422692836', '9783608987027', '8445070703', '9780261103993', '9788445070703', '0261103997', '3608936386', '8439597495', '842269283X', '0007635567', '9783608932249', '0618042261', '3608987029', '8439596189', '9780618042265', '9788439597490']"
Lord of the Rings the Fellowship of the Ring,['Independently Published'],[2020],['eng'],['9798664099836']
The Lord of the Rings The Fellowship of the Ring Photo Guide,"['Mariner Books', ""HarperCollinsChildren'sBooks"", 'Collins', 'Houghton Mifflin']","[2001, 2004]",['eng'],"['0007198949', '9780618195589', '9780007198948', '0618195580']"
Lord of the Rings the Fellowship of the Ring,['Independently Published'],[2020],['ita'],['9798681747741']
The Lord of the Rings,"['Maxwell Macmillan International', 'Maxwell Macmillan Canada', 'Twayne Publishers', 'University Press of Kentucky', 'The University Press of Kentucky']","[1992, 2001, 2010]",['eng'],"['0813190177', '0813128056', '0805794417', '080578571X', '0813138019', '9780813128054', '9780805794410', '9780813190174', '9780805785715', '9780813138015']"
The Lord of the Rings,['New Line Home Video'],[2012],,['0794043554223']
The Lord of the Rings,,,,
The Lord of the Rings,['New Line Home Entertainment'],[2002],,"['9780780637023', '078063702X']"
The Lord of the Rings,['Fotonovel Publications'],[1979],['eng'],
"The Lord of the Rings, Fellowship of the Ring 2003 Daily Calendar (Lord of the Rings)",['Cedco Publishing Company'],[2002],['eng'],"['0768357616', '9780768357615']"
The Lord of the Rings - War of the Ring,['BRADY GAMES'],[2003],['eng'],"['9780744003499', '0744003490']"
The lord of the rings,,"[2002, 2003]",['eng'],
The Lord of the rings,['Collins'],[2001],,"['0007131941', '9780007131945']"
"The ""Lord of the Rings - The Fellowship of the Rings""",['Prima Games'],[2002],,"['9780761541769', '0761541764']"
The Lord of the rings location guidebook,"['HarperCollins Publishers Ltd', 'HarperCollins', 'HarperCollins (New Zealand)', 'Zondervan']","[2002, 2011, 2004]",['eng'],"['1869509277', '0007199686', '1869504526', '1869509269', '9781869509279', '9781869509262', '9780007199686', '9781869504526']"
The Lord of the Rings Trilogy,['Cedco Publishing Company'],[2004],['eng'],"['0768370191', '9780768370195']"
Lord of the Rings,,,,"['0780643321', '9780780643321']"
Lords of the Ring,['Pulse'],[1987],['eng'],"['092101404X', '9780921014041']"
Official the lôrd of the Rîngs 2022 Calendar,['Independently Published'],[2021],['eng'],['9798786358774']
The Lord of the Rings,['Prima Games'],[2002],['eng'],"['0761540873', '9780761540878']"
The lord of the rings,"['Houghton Mifflin', 'HarperCollins Publishers Ltd.', 'Houghton Mifflin Co.', 'HarperCollins']","[2008, 2005, 2014]",['eng'],"['9780618642670', '000720308X', '0618642676', '000720907X', '9780007209071', '9780007203086', '000755690X', '0007270607', '9780007270606', '9780007556908']"
The Lord of the Rings - The Fellowship of the Ring,['Prima Games'],[2002],['eng'],"['9780761540885', '0761540881']"
The Lord of the Rings: The Fellowship of the Ring,,,,
Lords of the ring,"['William Heinemann', 'William Heinemann Ltd']",[1991],['eng'],"['043473876X', '9780434738762']"
J. R. R. Tolkien's The Lord of the Rings,"['Chelsea House', 'Chelsea House Publications', 'Chelsea House Publishers']","[2000, 2008]",['eng'],"['0791056651', '9781604131451', '1604131454', '9780791056653']"
The Lord of the Rings,,,,
Lord of the Rings,['Independently Published'],[2019],['eng'],"['1712788698', '9781712788691']"
Lord of the Rings,,[2010],,
Lord of the Rings,"['Lightning Rod, a Division of Windstorm Creative']",[2006],['eng'],"['1590921372', '9781590921371']"
Lord of the Rings,['Random House Information Group'],[2004],['eng'],"['9780761544333', '076154433X']"
The Lord of the Rings: The Fellowship of the Ring,,,,
Lord of the Rings Trivia : the Lord of the Rings Facts and Quizzes,['Independently Published'],[2021],['eng'],['9798516629525']
Realm of the Ring Lords,"['Fair Winds Press (MA)', 'HarperCollins Publishers Ltd', 'Fair Winds Press', 'MediaQuest']","[2000, 2001, 2002, 2003]",['eng'],"['1931412944', '1931412146', '0007142935', '9781931412940', '9781931412148', '9781903773178', '9780007142934', '9780953768677', '0953768678', '1903773172']"
Lord of the Rings Film Facts : Everything for the Lord of the Rings Fans,['Independently Published'],[2021],['eng'],['9798481503844']
The Lord of the Rings,['Games Workshop'],[2001],,['5011921951246']
The Lord of the Rings,['SparkNotes'],[2002],['eng'],"['9781586637903', '1586637908']"
The Fellowship of the Ring Visual Companion (The Lord of The Rings),['HarperCollins Entertainment'],[2001],,"['0007116241', '9780007116249']"
"The "" Lord of the Rings "" Jigsaw Book",['The Five Mile Press'],[2002],,"['1865035955', '9781865035956']"
"The Lord of the Rings, Part 1","['Brand: HighBridge Company', 'Highbridge Audio']",[2002],,"['9781565116672', '1565116674']"
The Fellowship of the Ring Journal (The Lord of the Rings),['Cedco Publishing Company'],[2001],['eng'],"['9780768325225', '0768325226']"
Lord of the Rings,['Center for Learning'],[2004],['eng'],"['9781560771371', '1560771372']"
Lords of the Ring,['Penguin Random House'],[1999],['eng'],"['0749308958', '9780749308957']"
Lord of the rings,['CHARISMA [CAS1059.'],,['eng'],
Lords of the ring,['Cassell Australia'],[1980],,"['9780726913952', '0726913952']"
Lord of the Ring's,['Independently Published'],[2021],['eng'],['9798460894079']
Lord of the Rings,['MSI MUSIC'],[2002],,"['9786307245993', '6307245999']"
Lord of the rings,,,,
Lord of the Rings,,,,"['0089752007', '9780089752007']"
Lord of the Rings,['HarperCollins Publishers Limited'],[2024],['eng'],"['0008669430', '9780008669430']"
Lord of the Rings--War of the Ring - Expansion #1,['Prima Publishing'],[2004],,"['9780761545699', '0761545697']"
The Lord of the Rings,['Unwin'],[1978],,"['9780048231352', '0048231355']"
"The Art of the ""Fellowship of the Ring"" (""Lord of the Rings"")",['HarperCollins Publishers Ltd'],[2002],,"['9780007135639', '0007135637']"
The lords of the rings,"['Simon & Schuster, Limited', 'Stoddart Pub. Co.']",[1992],['eng'],"['9780671712259', '067171225X', '0671711229', '9780671711221']"
Lords of the Ring,['Hamlyn'],[1998],,"['9780600595205', '060059520X']"
The Lord Of The Rings Part One,['BBC Books'],[2001],,"['9780563536550', '0563536551']"
Lord of the Rings Instrumental Solos,['Warner Bros. Publications'],[2004],['eng'],"['0757916597', '0757923240', '9780757923241', '9780757916595', '9780757916588', '0757916589', '0757916570', '9780757916571', '9780757923258', '0757923259']"
The Lord of the Rings,"['Uitgeverij M', 'Houghton Mifflin Company']",[2002],"['dut', 'eng']","['0618260226', '0618258000', '9789022533956', '9780618258000', '9780618260225', '9022533956']"
Poems from The lord of the rings,"['Mladá fronta', 'HarperCollins Publishers Ltd', 'HarperCollins']","[2001, 2002, 1994]",['eng'],"['9788020408891', '9780261103122', '0261103121', '8020408894']"
Lord of the Rings the Fellowship of the Ring Sheet Music Piano,['Independently Published'],[2022],['eng'],['9798839076808']
"The Art of the ""Lord of the Rings"" Trilogy (""Lord of the Rings"")",['HarperCollins Publishers Ltd'],[2004],,"['0007191928', '9780007191925']"
Lord of the Rings Arwen Journal,['Cedco Publishing Company'],[2001],['eng'],"['9780768325263', '0768325269']"
The Lord of the Rings,['HarperCollins'],"[2003, 2004]",['eng'],"['9780007179251', '9781869505301', '0007179251', '1869505301']"
The Lord of the Rings,['Collins'],[2002],['eng'],"['0007144091', '9780007144099']"
The Lord of the Rings,['BradyGames'],[2004],['eng'],"['9780744003499', '0744003490']"
Lord of the Rings,,[2011],,
Lord of the Rings,['Insight Editions'],[2023],['eng'],['9798886632552']
Lord of the Rings Instrumental,['Warner Bros. Publications'],[2004],['eng'],"['9780757923265', '9780757923272', '0757923275', '0757923283', '9780757923289', '0757923267']"
The Lord of the Rings,,,['eng'],"['1931334706', '9781931334709']"
THE LORD OF THE RINGS,['WS'],[2003],,
The Lord of the Rings,['Bbc Book Pub'],,,"['0563494859', '9780563494850']"
Lords of the Ring,['University of Wisconsin Press'],"[2004, 2012, 2005]",['eng'],"['9780299204204', '9780299204242', '0299204200', '0299204243', '9780299204235', '0299204235']"
Understanding : «the Lord of the Rings» «the Fellowship of the Ring»,['Independently Published'],[2020],['eng'],['9798653925078']
Lord of the Rings Trilogy,"['Warner Bros. Publications', 'Alfred Music']",[2004],['eng'],"['075792414X', '9780757924149']"
The Fellowship of the Ring Sourcebook (The Lord of the Rings Roleplaying Game),['Decipher Inc.'],[2003],['eng'],"['1582369550', '9781582369556']"
Understanding The lord of the rings,['Houghton Mifflin'],"[2004, 2005]",['eng'],"['9780618422517', '0618422536', '061842251X', '9780618422531']"
"Gollum (""Lord of the Rings"")",['Collins'],[2003],,"['0007170572', '9780007170579']"
Lord of the Rings Food Recipes : the Perfect Lord of the Rings Party Diet,['Independently Published'],[2021],['eng'],['9798503583168']
Lord of the Rings,['Insight Editions'],[2019],['eng'],"['9781682984857', '1682984850']"
Lord of the rings,['Ringling Bros. and Barnum & Bailey Combined Shows'],[1988],['eng'],
Tolkien and the Lord of the rings,"['Azure', 'HiddenSpring', 'Diane Pub Co']","[2001, 2004]",['eng'],"['1902694228', '9781902694221', '9781587680175', '1587680173', '9780756778880', '0756778883']"
Tolkien's The Lord of the Rings,"['Walking Tree Publisher', 'Walking Tree Publishers']",[2008],['eng'],"['3905703122', '9783905703122']"
Lurtz (Tasseled Bookmark) (The Lord of the Rings: The Fellowship of the Ring),['Antioch Publishing'],[2001],['eng'],"['0782420303', '9780782420302']"
Lord of the Rings Coloring Book,['Independently Published'],[2020],['eng'],"['9798644518586', '9798656121118']"
The Lord of the Rings - The Two Towers,['Games Workshop'],[2003],,"['1841542857', '9781841542850']"
The Lord of the Rings,['Insights'],[2014],,"['9781608873821', '160887382X']"
Lord of the Rings Enhanced,,,,"['9785555630117', '5555630115']"
Lord of the Rings Sketchbook,['HarperCollins Publishers Limited'],[2008],['eng'],"['9780007284238', '0007284233']"
Lord of the Rings 2007,['HarperCollins Publishers Limited'],[2006],['eng'],"['9780007225644', '0007225644']"
Lord of the Rings the Fellowship of the Ring Sheet Music,['Independently Published'],[2022],['eng'],['9798839074279']
Finding God in the Lord of the Rings,"['Tyndale House Publishers', 'Tyndale Momentum', 'Brand: Living Books']","[2003, 2021]",['eng'],"['9781496447517', '1496447506', '9781496447487', '1496447484', '1496447514', '9781496447500', '9781496447494', '1496447492', '084238555X', '9780842385558']"
Lord of the Rings,"['Wallflower Press', 'WALLFLOWER']",[2006],"['und', 'eng']","['9781904764823', '1904764835', '9781904764830', '1904764827']"
Lord of the Rings Handbook : Everything You Need to Know about the Lord of the Rings,['Independently Published'],[2021],['eng'],['9798774588732']
The Lord of the Rings,,,,
